date,capacity
2023-06-10,30
2023-06-11,30
2023-06-12,10
2023-06-13,10
2023-06-14,10
2023-06-15,10
2023-06-16,30
2023-06-17,30
2023-06-18,10
2023-06-19,10
2023-06-20,10
2023-06-21,10
2023-06-22,30
2023-06-23,30
2023-06-24,10
2023-06-25,10
2023-06-26,10
2023-06-27,10
2023-06-28,30
2023-06-29,30
2023-06-30,10
2023-07-01,10
2023-07-02,10
2023-07-03,10
2023-07-04,30
2023-07-05,30
2023-07-06,10
2023-07-07,10
2023-07-08,10
2023-07-09,10
2023-07-10,30
2023-07-11,30
2023-07-12,10
2023-07-13,10
2023-07-14,10
2023-07-15,10
