date,capacity
2023-07-01,15
2023-07-02,15
2023-07-03,15
2023-07-04,15
2023-07-05,15
2023-07-06,15
2023-07-07,15
2023-07-08,15
2023-07-09,15
2023-07-10,15
2023-07-11,15
2023-07-12,15
2023-07-13,15
2023-07-14,15
2023-07-15,15
2023-07-16,15
2023-07-17,15
2023-07-18,15
2023-07-19,15
2023-07-20,15
2023-07-21,15
2023-07-22,15
2023-07-23,15
2023-07-24,15
2023-07-25,15
2023-07-26,15
2023-07-27,15
2023-07-28,15
2023-07-29,15
2023-07-30,15
2023-07-31,15
2023-08-01,15
2023-08-02,15
2023-08-03,15
2023-08-04,15
2023-08-05,15
2023-08-06,15
2023-08-07,15
2023-08-08,15
2023-08-09,15
2023-08-10,15
2023-08-11,15
2023-08-12,15
2023-08-13,15
2023-08-14,15
2023-08-15,15
2023-08-16,15
2023-08-17,15
2023-08-18,15
2023-08-19,15
2023-08-20,15
2023-08-21,15
2023-08-22,15
2023-08-23,15
2023-08-24,15
2023-08-25,15
2023-08-26,15
2023-08-27,15
2023-08-28,15
2023-08-29,15
2023-08-30,15
2023-08-31,15
2023-09-01,15
2023-09-02,15
2023-09-03,15
2023-09-04,15
2023-09-05,15
2023-09-06,15
2023-09-07,15
2023-09-08,15
2023-09-09,15
2023-09-10,15
2023-09-11,15
2023-09-12,15
2023-09-13,15
2023-09-14,15
2023-09-15,15
2023-09-16,15
2023-09-17,15
2023-09-18,15
2023-09-19,15
2023-09-20,15
2023-09-21,15
2023-09-22,15
2023-09-23,15
2023-09-24,15
2023-09-25,15
2023-09-26,15
2023-09-27,15
2023-09-28,15
2023-09-29,15
2023-09-30,15
2023-10-01,15
2023-10-02,15
2023-10-03,15
2023-10-04,15
2023-10-05,15
2023-10-06,15
2023-10-07,15
2023-10-08,15
2023-10-09,15
2023-10-10,15
2023-10-11,15
2023-10-12,15
2023-10-13,15
2023-10-14,15
2023-10-15,15
2023-10-16,15
2023-10-17,15
2023-10-18,15
2023-10-19,15
2023-10-20,15
2023-10-21,15
2023-10-22,15
2023-10-23,15
2023-10-24,15
2023-10-25,15
2023-10-26,15
2023-10-27,15
2023-10-28,15
2023-10-29,15
2023-10-30,15
2023-10-31,15
2023-11-01,15
2023-11-02,15
2023-11-03,15
2023-11-04,15
2023-11-05,15
2023-11-06,15
2023-11-07,15
2023-11-08,15
2023-11-09,15
2023-11-10,15
2023-11-11,15
2023-11-12,15
2023-11-13,15
2023-11-14,15
2023-11-15,15
2023-11-16,15
2023-11-17,15
2023-11-18,15
2023-11-19,15
2023-11-20,15
2023-11-21,15
2023-11-22,15
2023-11-23,15
2023-11-24,15
2023-11-25,15
2023-11-26,15
2023-11-27,15
2023-11-28,15
2023-11-29,15
2023-11-30,15
2023-12-01,15
2023-12-02,15
2023-12-03,15
2023-12-04,15
2023-12-05,15
2023-12-06,15
2023-12-07,15
2023-12-08,15
2023-12-09,15
2023-12-10,15
2023-12-11,15
2023-12-12,15
2023-12-13,15
2023-12-14,15
2023-12-15,15
2023-12-16,15
2023-12-17,15
2023-12-18,15
2023-12-19,15
2023-12-20,15
2023-12-21,15
2023-12-22,15
2023-12-23,15
2023-12-24,15
2023-12-25,15
2023-12-26,15
2023-12-27,15
2023-12-28,15
2023-12-29,15
2023-12-30,15
2023-12-31,15
2024-01-01,15
2024-01-02,15
2024-01-03,15
2024-01-04,15
2024-01-05,15
2024-01-06,15
2024-01-07,15
2024-01-08,15
2024-01-09,15
2024-01-10,15
2024-01-11,15
2024-01-12,15
2024-01-13,15
2024-01-14,15
2024-01-15,15
2024-01-16,15
2024-01-17,15
2024-01-18,15
2024-01-19,15
2024-01-20,15
2024-01-21,15
2024-01-22,15
2024-01-23,15
2024-01-24,15
2024-01-25,15
2024-01-26,15
2024-01-27,15
2024-01-28,15
2024-01-29,15
2024-01-30,15
2024-01-31,15
2024-02-01,15
2024-02-02,15
2024-02-03,15
2024-02-04,15
2024-02-05,15
2024-02-06,15
2024-02-07,15
2024-02-08,15
2024-02-09,15
2024-02-10,15
2024-02-11,15
2024-02-12,15
2024-02-13,15
2024-02-14,15
2024-02-15,15
2024-02-16,15
2024-02-17,15
2024-02-18,15
2024-02-19,15
2024-02-20,15
2024-02-21,15
2024-02-22,15
2024-02-23,15
2024-02-24,15
2024-02-25,15
2024-02-26,15
2024-02-27,15
2024-02-28,15
2024-02-29,15
2024-03-01,15
2024-03-02,15
2024-03-03,15
2024-03-04,15
2024-03-05,15
2024-03-06,15
